16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,1,1,1,1,1,1,1,16,0,0,0,0,0,0,16,2,2,2,2,2,2,2,16
16,1,3,3,3,3,3,1,16,0,0,0,0,0,0,16,2,3,3,3,3,3,2,16
16,1,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,2,16
16,1,3,3,3,3,3,1,16,0,0,0,0,0,0,16,2,3,4,3,3,0,2,16
16,1,1,1,0,1,1,1,16,0,0,0,0,0,0,16,2,2,2,2,2,2,2,16
16,16,16,0,0,16,16,16,16,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16,0,0,0,0,0,0,0,0,0,17,17,17,17,0,0,0,0,0,0,0,0,0,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16,16,16,0,0,16,16,16,16,0,0,18,18,0,0,16,16,16,16,16,16,16,16,16
16,4,4,4,4,4,4,4,16,0,0,0,0,0,0,16,3,3,3,3,3,3,3,16
16,4,0,0,0,0,4,4,16,0,0,0,0,0,0,16,3,0,0,0,0,0,3,16
16,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
16,4,4,4,4,4,4,4,16,0,0,0,0,0,0,16,3,3,3,3,3,3,3,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
